timestamp,cpu_pct,ram_used_mb,ram_total_mb,ram_pct,disk_write_kb_s
2026-07-27 18:37:57,2,18293,32639,56,105.9
2026-07-27 18:38:03,1,18303,32639,56.1,0
2026-07-27 18:38:10,5,18305,32639,56.1,124.9
2026-07-27 18:38:16,8,18283,32639,56,0
2026-07-27 18:38:23,9,18288,32639,56,0
2026-07-27 18:38:29,7,18284,32639,56,15.5
2026-07-27 18:38:36,9,18291,32639,56,0
2026-07-27 18:38:42,0,18310,32639,56.1,30.9
2026-07-27 18:38:48,2,18273,32639,56,0
2026-07-27 18:38:55,5,18289,32639,56,46.9
2026-07-27 18:39:01,6,18295,32639,56.1,0
2026-07-27 18:39:08,3,18298,32639,56.1,0
2026-07-27 18:39:14,6,18302,32639,56.1,0
2026-07-27 18:39:21,7,18305,32639,56.1,0
2026-07-27 18:39:27,2,18305,32639,56.1,0
2026-07-27 18:39:33,5,18311,32639,56.1,0
2026-07-27 18:39:40,1,18318,32639,56.1,0
2026-07-27 18:39:46,6,18326,32639,56.1,0
2026-07-27 18:39:53,6,18303,32639,56.1,0
2026-07-27 18:39:59,3,18304,32639,56.1,0
2026-07-27 18:40:05,7,18312,32639,56.1,321.1
2026-07-27 18:40:12,8,18314,32639,56.1,0
2026-07-27 18:40:18,4,18381,32639,56.3,30.9
2026-07-27 18:40:25,9,18372,32639,56.3,0
2026-07-27 18:40:31,8,18379,32639,56.3,0
2026-07-27 18:40:38,7,18345,32639,56.2,0
2026-07-27 18:40:44,8,18340,32639,56.2,1150.8
2026-07-27 18:40:50,12,18356,32639,56.2,0
2026-07-27 18:40:57,8,18321,32639,56.1,0
2026-07-27 18:41:03,6,18321,32639,56.1,0
2026-07-27 18:41:10,3,18330,32639,56.2,0
2026-07-27 18:41:16,4,18313,32639,56.1,0
2026-07-27 18:41:23,10,18318,32639,56.1,0
2026-07-27 18:41:29,4,18313,32639,56.1,0
2026-07-27 18:41:35,7,18313,32639,56.1,0
2026-07-27 18:41:42,3,18311,32639,56.1,0
2026-07-27 18:41:48,4,18280,32639,56,123
2026-07-27 18:41:55,6,18278,32639,56,0
2026-07-27 18:42:01,2,18293,32639,56,0
2026-07-27 18:42:08,5,18292,32639,56,662.2
2026-07-27 18:42:14,7,18299,32639,56.1,45.8
2026-07-27 18:42:20,5,18299,32639,56.1,0
2026-07-27 18:42:27,5,18300,32639,56.1,0
2026-07-27 18:42:33,6,18295,32639,56.1,15.3
2026-07-27 18:42:40,6,18296,32639,56.1,0
2026-07-27 18:42:46,6,18307,32639,56.1,0
2026-07-27 18:42:52,8,18303,32639,56.1,0
2026-07-27 18:42:59,2,18288,32639,56,106.4
2026-07-27 18:43:05,7,18298,32639,56.1,0
2026-07-27 18:43:12,8,18300,32639,56.1,0
2026-07-27 18:43:18,8,18304,32639,56.1,62.6
2026-07-27 18:43:25,3,18278,32639,56,0
2026-07-27 18:43:31,17,18264,32639,56,0
2026-07-27 18:43:37,6,18277,32639,56,106.4
2026-07-27 18:43:44,1,18282,32639,56,1325
2026-07-27 18:43:50,4,18280,32639,56,0
2026-07-27 18:43:57,7,18281,32639,56,0
2026-07-27 18:44:03,2,18294,32639,56,122.7
2026-07-27 18:44:10,3,18304,32639,56.1,0
2026-07-27 18:44:16,5,18307,32639,56.1,0
2026-07-27 18:44:22,3,18280,32639,56,0
2026-07-27 18:44:29,3,18281,32639,56,0
2026-07-27 18:44:35,12,18289,32639,56,0
2026-07-27 18:44:42,3,18293,32639,56,0
2026-07-27 18:44:48,4,18287,32639,56,0
2026-07-27 18:44:55,0,18288,32639,56,0
2026-07-27 18:45:01,7,18295,32639,56.1,0
2026-07-27 18:45:07,6,18297,32639,56.1,0
2026-07-27 18:45:14,8,18309,32639,56.1,0
2026-07-27 18:45:20,11,18282,32639,56,0
2026-07-27 18:45:27,7,18281,32639,56,0
2026-07-27 18:45:33,8,18286,32639,56,15.4
2026-07-27 18:45:40,8,18293,32639,56,0
2026-07-27 18:45:46,3,18298,32639,56.1,0
2026-07-27 18:45:52,7,18326,32639,56.1,0
2026-07-27 18:45:59,0,18329,32639,56.2,0
2026-07-27 18:46:05,9,18336,32639,56.2,0
2026-07-27 18:46:12,6,18354,32639,56.2,0
2026-07-27 18:46:18,5,18315,32639,56.1,30.8
2026-07-27 18:46:24,5,18315,32639,56.1,0
